Unit code,Geological unit,Mapped lithology,Model area (km2),Share of model area (%),Low thermal conductivity (W m-1 K-1),Representative thermal conductivity (W m-1 K-1),High thermal conductivity (W m-1 K-1),Density (kg m-3),Specific heat capacity (J kg-1 K-1),Volumetric heat capacity (J m-3 K-1),Source
UDVS,Upper Devonian Slates,Slate,25.73,32.6,2.2,2.69,2.9,2650,900,2385000,Rollin 1987 Table 3: Southwest England slate 2.69 W/mK from 206 samples
SAH,Saltash Formation,Slate and Siltstone,17.68,22.4,2.2,2.49,2.69,2600,900,2340000,Rollin 1987: Middle Devonian siltstone 2.49 W/mK and Southwest England slate 2.69 W/mK
TPT,Torpoint Formation,Mudstone and Siltstone,11.55,14.6,2.1,2.5,2.89,2650,920,2438000,Rollin 1987: Middle Devonian siltstone 2.49 W/mK; BGS OR/25/014: Devonian argillaceous rock 2.89 W/mK; Parkes et al. saturated mudstone/siltstone ranges
MDVS,Middle Devonian Slates,Slate,7.54,9.5,2.2,2.69,2.9,2650,900,2385000,Rollin 1987 Table 3: Southwest England slate 2.69 W/mK from 206 samples
MDVL,Middle Devonian Limestone,Limestone,5.09,6.4,2.7,3.0,3.2,2680,890,2385000,"BGS OR/25/014 Appendix 1: Devonian limestone 3.00 W/mK, density 2680 kg/m3, specific heat 890 J/kgK; Rollin limestone 3.14 W/mK"
TVY,Tavy Formation,Slate,3.32,4.2,2.2,2.69,2.9,2650,900,2385000,Rollin 1987 Table 3: Southwest England slate 2.69 W/mK from 206 samples
PYL,Plymouth Limestone Formation,Limestone,1.42,1.8,2.7,3.0,3.2,2680,890,2385000,"BGS OR/25/014 Appendix 1: Devonian limestone 3.00 W/mK, density 2680 kg/m3, specific heat 890 J/kgK; Rollin limestone 3.14 W/mK"
MDVS,Middle Devonian Slates,"Pyroclastic Rock, Basaltic",1.22,1.5,1.8,2.2,2.5,2730,850,2321000,BGS OR/25/014 Appendix 1: Devonian tuff 2.20 W/mK; Carboniferous mafic tuff 2.50 W/mK
WRG,Wearde Sandstone Member,"Sandstone, Siltstone and Mudstone",0.88,1.1,2.3,2.82,3.1,2550,880,2244000,BGS OR/25/014 Appendix 1: Devonian sandstone-argillaceous interbeds 2.82 W/mK and argillaceous-sandstone interbeds 2.89 W/mK
UDVS,Upper Devonian Slates,"Pyroclastic Rock, Basaltic",1.02,1.3,1.8,2.2,2.5,2730,850,2321000,BGS OR/25/014 Appendix 1: Devonian tuff 2.20 W/mK; Carboniferous mafic tuff 2.50 W/mK
SAH,Saltash Formation,"Lava, Basaltic",1.17,1.5,1.6,1.8,2.2,2750,950,2612000,BGS OR/25/014 Appendix 1: Devonian lava/extrusive rock 1.80 W/mK; Rollin 1987: extrusive basalt 1.80 W/mK
STG,Staddon Formation,"Sandstone, Siltstone and Mudstone",0.73,0.9,2.3,2.82,3.1,2550,880,2244000,BGS OR/25/014 Appendix 1: Devonian sandstone-argillaceous interbeds 2.82 W/mK and argillaceous-sandstone interbeds 2.89 W/mK
SAH,Saltash Formation,Hyaloclastite,0.61,0.8,2.5,2.6,2.75,2550,900,2295000,Scott et al. 2023 Valgardur database: two water-saturated hyaloclastite samples 2.50-2.75 W/mK
FAR,Faraday Road Member,Limestone,0.23,0.3,2.7,3.0,3.2,2680,890,2385000,"BGS OR/25/014 Appendix 1: Devonian limestone 3.00 W/mK, density 2680 kg/m3, specific heat 890 J/kgK; Rollin limestone 3.14 W/mK"
SAH,Saltash Formation,"Pyroclastic Rock, Basaltic",0.18,0.2,1.8,2.2,2.5,2730,850,2321000,BGS OR/25/014 Appendix 1: Devonian tuff 2.20 W/mK; Carboniferous mafic tuff 2.50 W/mK
UDP,"Unnamed Dyke, Permian",Felsite,0.08,0.1,2.2,3.0,3.2,2650,840,2226000,BGS OR/25/014 Appendix 1: fine-grained acid rock approximately 3.00 and microgranitic rock 3.20 W/mK; BGS Sheet 348 memoir
MDVS,Middle Devonian Slates,Basaltic Rock,0.16,0.2,1.6,1.8,2.3,2750,950,2612000,BGS OR/25/014 Appendix 1: Devonian lava/extrusive rock 1.80 W/mK; Rollin 1987: UK extrusive basalt 1.80 W/mK
PRK,Prince Rock Member,Limestone,0.09,0.1,2.7,3.0,3.2,2680,890,2385000,"BGS OR/25/014 Appendix 1: Devonian limestone 3.00 W/mK, density 2680 kg/m3, specific heat 890 J/kgK; Rollin limestone 3.14 W/mK"
UIIDC,"Unnamed Igneous Intrusion, Devonian To Carboniferous",Microgabbro,0.09,0.1,1.75,2.2,2.5,2850,820,2337000,"BGS OR/25/014 Appendix 1: microgabbroic rock 2.20 W/mK, density 2850 kg/m3, specific heat 820 J/kgK; Rollin dolerite 1.75 W/mK"
SAH,Saltash Formation,Chert,0.06,0.1,2.8,3.2,3.5,2670,880,2350000,BGS OR/25/014 Appendix 1: Jurassic chert 2.80 and Carboniferous chert 3.50 W/mK
MDT,Meadfoot Group,"Slate, Siltstone and Sandstone",0.05,0.1,2.49,2.82,3.26,2550,880,2244000,"BGS OR/25/014: Devonian sandstone-argillaceous interbeds 2.82 W/mK; Rollin: slate 2.69, Middle Devonian siltstone 2.49 and Upper Devonian sandstone 3.26 W/mK"
MDVL,Middle Devonian Limestone,"Pyroclastic Rock, Basaltic",0.04,0.0,1.8,2.2,2.5,2730,850,2321000,BGS OR/25/014 Appendix 1: Devonian tuff 2.20 W/mK; Carboniferous mafic tuff 2.50 W/mK
