LSOA code and name,Residential useful heat demand (GWh yr-1),Heat-demand density (GWh km-2 yr-1),Candidate BHE count,Representative GSHP useful heat potential (GWh yr-1),Locally matched GSHP useful heat (GWh yr-1),Local heat-demand coverage (%),Unmet residential heat demand (GWh yr-1),Surplus GSHP potential (GWh yr-1)
E01015131 Plymouth 030C,8.28,3.06,465,13.67,8.28,100.0,0.0,5.39
E01015112 Plymouth 019A,4.92,4.25,210,5.86,4.92,100.0,0.0,0.94
E01015091 Plymouth 005B,4.85,4.31,201,5.79,4.85,100.0,0.0,0.94
E01015092 Plymouth 005C,4.82,1.95,437,12.54,4.82,100.0,0.0,7.72
E01034157 Plymouth 031G,4.67,1.18,698,20.66,4.67,100.0,0.0,16.0
E01015120 Plymouth 015A,4.66,2.64,307,8.81,4.66,100.0,0.0,4.15
E01015113 Plymouth 019B,4.65,4.25,195,5.58,4.65,100.0,0.0,0.93
E01015139 Plymouth 031E,4.55,3.79,214,6.24,4.55,100.0,0.0,1.69
E01015023 Plymouth 003A,4.45,4.84,164,4.59,4.45,100.0,0.0,0.14
E01015083 Plymouth 004C,4.11,3.29,223,5.98,4.11,100.0,0.0,1.88
E01015082 Plymouth 004B,4.07,3.77,188,5.17,4.07,100.0,0.0,1.1
E01015095 Plymouth 010D,3.72,3.62,180,5.18,3.72,100.0,0.0,1.47
E01015145 Plymouth 014E,3.57,4.6,138,3.74,3.57,100.0,0.0,0.17
E01015055 Plymouth 021A,3.56,5.17,122,3.53,3.53,99.1,0.03,0.0
E01015163 Plymouth 003D,4.15,5.16,142,4.11,4.11,99.0,0.04,0.0
E01015097 Plymouth 001B,9.44,5.25,317,9.18,9.18,97.3,0.26,0.0
E01015090 Plymouth 005A,4.09,5.17,137,3.96,3.96,97.0,0.12,0.0
E01015130 Plymouth 032C,4.21,5.46,138,4.03,4.03,95.7,0.18,0.0
E01015182 Plymouth 028E,5.68,5.84,168,5.15,5.15,90.8,0.52,0.0
E01015166 Plymouth 002E,4.99,5.62,155,4.49,4.49,89.8,0.51,0.0
E01015125 Plymouth 015E,4.09,5.87,122,3.53,3.53,86.3,0.56,0.0
E01015148 Plymouth 006E,3.65,5.8,113,3.06,3.06,83.8,0.59,0.0
E01015073 Plymouth 013B,3.99,5.73,122,3.31,3.31,82.9,0.68,0.0
E01015106 Plymouth 013E,3.9,6.27,114,3.13,3.13,80.3,0.77,0.0
E01015045 Plymouth 026B,3.19,5.28,93,2.55,2.55,80.1,0.63,0.0
E01015060 Plymouth 021E,3.67,6.71,100,2.88,2.88,78.4,0.79,0.0
E01015041 Plymouth 014C,4.18,5.28,117,3.16,3.16,75.6,1.02,0.0
E01015029 Plymouth 008A,6.19,6.66,165,4.57,4.57,73.8,1.62,0.0
E01015099 Plymouth 017B,4.92,6.7,127,3.49,3.49,71.1,1.42,0.0
E01015124 Plymouth 015D,5.14,7.29,122,3.53,3.53,68.6,1.61,0.0
E01015074 Plymouth 011A,4.04,6.93,102,2.75,2.75,68.1,1.29,0.0
E01015096 Plymouth 010E,3.32,7.32,78,2.26,2.26,68.0,1.06,0.0
E01015132 Plymouth 030D,5.2,7.94,114,3.47,3.47,66.8,1.73,0.0
E01015094 Plymouth 005E,3.19,7.23,76,2.12,2.12,66.5,1.07,0.0
E01015165 Plymouth 003E,4.25,8.07,97,2.81,2.81,66.0,1.45,0.0
E01015138 Plymouth 031D,6.3,7.64,144,4.16,4.16,66.0,2.15,0.0
